Year,County,Total_Deaths,Diseases_of_Heart,Malignant_Neoplasms,Accidents,COVID_19,Cerebrovascular_Diseases,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis,All_Other_Causes
2014,ILLINOIS,105296,25020,24504,5633,5490,4642,3267,2712,2517,2483,1804,1396,1321,0,0
2014,Adams,786,171,164,58,25,47,44,12,13,32,20,9,8,0,0
2014,Alexander,109,30,26,6,3,6,2,6,4,4,1,0,0,0,0
2014,Bond,160,36,24,6,9,15,8,6,5,5,1,2,3,0,0
2014,Boone,413,101,114,29,17,21,8,6,13,7,4,3,6,0,0
2014,Brown,51,7,7,3,5,4,0,1,3,0,1,3,0,0,0
2014,Bureau,380,109,75,26,11,22,18,5,19,13,4,3,5,0,0
2014,Calhoun,52,17,14,2,1,2,2,4,2,1,1,1,0,0,0
2014,Carroll,188,56,45,11,7,9,2,5,2,2,4,3,0,0,0
2014,Cass,171,56,43,9,9,8,2,2,5,4,2,3,1,0,0
2014,Champaign,1301,286,287,79,59,74,34,18,31,28,16,18,21,0,0
2014,Christian,408,91,102,16,24,23,7,8,7,13,9,10,6,0,0
2014,Clark,223,49,50,17,18,9,11,7,3,4,2,4,4,0,0
2014,Clay,146,37,26,8,6,4,2,6,24,2,4,2,1,0,0
2014,Clinton,329,84,74,17,19,12,8,7,4,10,9,4,2,0,0
2014,Coles,465,127,106,32,20,19,14,14,8,9,6,5,3,0,0
2014,Cook,39997,10035,9414,1719,2138,1490,1150,1083,1007,949,770,452,551,0,0
2014,Chicago,19003,4859,4429,723,970,796,440,577,498,435,397,201,283,0,0
2014,Suburban Cook,20994,5176,4985,996,1168,694,710,506,509,514,373,251,268,0,0
2014,Crawford,227,63,50,15,16,8,15,4,5,3,4,0,2,0,0
2014,Cumberland,114,23,34,12,4,7,2,1,1,2,3,1,0,0,0
2014,DeKalb,714,144,164,36,29,30,29,20,18,21,9,13,7,0,0
2014,DeWitt,189,47,47,10,8,7,7,5,6,5,0,3,1,0,0
2014,Douglas,205,41,33,19,8,7,12,9,8,4,7,6,4,0,0
2014,DuPage,6048,1375,1465,315,296,213,224,94,127,137,76,78,58,0,0
2014,Edgar,226,83,43,26,13,6,6,4,6,2,3,1,1,0,0
2014,Edwards,74,20,20,1,6,4,1,0,4,1,0,4,2,0,0
2014,Effingham,347,82,81,11,18,22,14,11,5,9,5,1,0,0,0
2014,Ford,200,54,46,16,9,10,6,3,2,2,1,1,2,0,0
2014,Franklin,532,83,116,47,29,28,29,30,19,9,23,7,6,0,0
2014,Fulton,470,106,108,32,28,10,4,12,12,20,6,8,5,0,0
2014,Gallatin,86,24,14,10,0,10,4,1,1,0,2,0,0,0,0
2014,Greene,165,46,30,11,4,17,4,6,7,4,1,2,2,0,0
2014,Grundy,414,102,91,23,23,23,6,21,7,9,5,8,4,0,0
2014,Hamilton,100,27,19,8,4,5,2,3,8,2,3,0,1,0,0
2014,Hancock,227,62,53,19,16,8,6,2,7,5,2,2,0,0,0
2014,Hardin,65,15,17,6,2,5,0,4,1,3,1,0,0,0,0
2014,Henderson,89,18,25,12,4,3,3,2,1,0,1,1,1,0,0
2014,Henry,495,119,108,41,23,25,9,13,6,16,7,4,5,0,0
2014,Iroquois,371,101,84,20,19,16,20,8,6,3,11,6,4,0,0
2014,Jackson,453,107,104,15,30,22,16,12,14,4,13,6,5,0,0
2014,Jasper,100,30,18,10,5,1,4,2,3,3,1,1,1,0,0
2014,Jefferson,450,85,102,33,17,18,35,13,13,16,11,7,3,0,0
2014,Jersey,239,50,52,12,14,9,10,14,5,4,2,3,4,0,0
2014,Jo Daviess,262,69,74,10,17,14,9,3,2,7,3,2,2,0,0
2014,Johnson,121,20,38,15,7,8,4,0,0,2,2,1,0,0,0
2014,Kane,3084,619,782,153,166,124,66,78,89,70,45,46,52,0,0
2014,Kankakee,1097,272,248,55,46,59,47,21,32,40,22,15,20,0,0
2014,Kendall,572,120,141,35,24,20,15,19,12,9,7,13,11,0,0
2014,Knox,650,153,111,62,36,21,35,17,11,14,12,10,8,0,0
2014,Lake,4455,956,1039,240,212,211,135,129,99,94,74,70,62,0,0
2014,LaSalle,1350,361,304,80,80,62,43,33,16,27,12,23,22,0,0
