Year,County,Total_Deaths,Diseases_of_Heart,Malignant_Neoplasms,Accidents,COVID_19,Cerebrovascular_Diseases,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis,All_Other_Causes
2020,ILLINOIS,132701,27466,24020,15715,7159,6762,5432,4639,3487,2651,2430,0,0,0,0
2020,Adams,877,156,141,70,45,38,62,24,20,22,23,0,0,0,0
2020,Alexander,114,18,25,11,4,6,5,6,1,5,3,0,0,0,0
2020,Bond,200,67,37,11,9,11,12,7,5,4,3,0,0,0,0
2020,Boone,488,94,83,57,29,24,32,24,9,9,9,0,0,0,0
2020,Brown,70,15,16,9,3,5,0,0,3,2,2,0,0,0,0
2020,Bureau,476,103,91,57,38,22,25,15,4,11,10,0,0,0,0
2020,Calhoun,68,18,13,5,4,6,2,2,2,2,2,0,0,0,0
2020,Carroll,255,56,44,26,17,10,20,3,3,3,4,0,0,0,0
2020,Cass,163,37,26,27,8,11,6,3,1,4,4,0,0,0,0
2020,Champaign,1517,328,280,66,113,75,57,70,33,29,27,0,0,0,0
2020,Christian,481,94,74,61,25,22,24,8,8,7,10,0,0,0,0
2020,Clark,228,53,37,18,9,11,15,6,8,3,2,0,0,0,0
2020,Clay,194,51,26,29,7,8,13,3,4,3,2,0,0,0,0
2020,Clinton,420,114,67,41,15,24,20,14,10,9,7,0,0,0,0
2020,Coles,623,125,110,49,27,19,36,26,11,13,16,0,0,0,0
2020,Cook,52037,10915,8863,7636,3044,2714,1556,1473,1476,1051,1011,0,0,0,0
2020,Chicago,25769,5350,4071,4125,1842,1369,708,528,816,499,479,0,0,0,0
2020,Suburban Cook,26268,5565,4792,3511,1202,1345,848,945,660,552,532,0,0,0,0
2020,Crawford,235,61,52,29,6,9,9,6,4,11,2,0,0,0,0
2020,Cumberland,133,27,23,20,8,5,9,3,5,4,2,0,0,0,0
2020,DeKalb,897,181,171,56,46,53,32,39,26,8,17,0,0,0,0
2020,DeWitt,243,60,42,21,12,9,18,18,4,2,8,0,0,0,0
2020,Douglas,226,44,38,29,11,6,14,13,4,4,4,0,0,0,0
2020,DuPage,7624,1513,1525,821,294,471,260,326,148,146,128,0,0,0,0
2020,Edgar,287,57,62,36,14,9,20,2,7,7,2,0,0,0,0
2020,Edwards,93,25,22,10,6,4,4,0,3,2,4,0,0,0,0
2020,Effingham,445,64,86,44,14,16,23,36,19,5,11,0,0,0,0
2020,Fayette,273,50,44,34,11,17,16,20,7,4,7,0,0,0,0
2020,Ford,236,49,40,24,6,18,9,10,2,4,3,0,0,0,0
2020,Franklin,614,110,101,60,30,26,45,30,26,12,14,0,0,0,0
2020,Fulton,547,115,120,32,18,32,36,29,14,10,8,0,0,0,0
2020,Gallatin,83,20,13,8,0,6,6,3,2,4,2,0,0,0,0
2020,Greene,199,41,30,26,7,10,17,11,3,3,2,0,0,0,0
2020,Grundy,544,110,101,44,39,26,34,17,17,10,9,0,0,0,0
2020,Hamilton,131,19,22,11,3,4,10,7,8,2,2,0,0,0,0
2020,Hancock,274,65,41,32,16,13,11,7,6,7,5,0,0,0,0
2020,Hardin,73,16,8,10,1,2,8,1,2,1,1,0,0,0,0
2020,Henderson,107,26,15,15,4,2,9,1,7,1,0,0,0,0,0
2020,Henry,689,183,125,63,28,36,36,23,16,9,8,0,0,0,0
2020,Iroquois,443,98,83,44,23,25,21,23,10,7,6,0,0,0,0
2020,Jackson,616,137,114,68,32,25,30,16,10,15,16,0,0,0,0
2020,Jasper,102,18,23,13,5,5,2,2,4,3,0,0,0,0,0
2020,Jefferson,559,118,100,65,28,31,30,24,19,8,13,0,0,0,0
2020,Jersey,324,77,60,36,17,12,15,20,11,12,9,0,0,0,0
2020,Jo Daviess,303,76,57,23,20,13,18,14,4,3,2,0,0,0,0
2020,Johnson,164,30,27,14,11,6,17,4,4,1,1,0,0,0,0
2020,Kane,4190,782,835,512,200,269,145,101,108,76,62,0,0,0,0
2020,Kankakee,1354,370,242,124,81,66,49,65,31,33,19,0,0,0,0
2020,Kendall,768,147,160,74,34,51,30,22,16,15,10,0,0,0,0
2020,Knox,816,172,139,106,28,27,58,52,20,14,10,0,0,0,0
2020,Lake,5738,1106,1113,698,278,267,197,230,161,119,99,0,0,0,0
2020,LaSalle,1524,326,287,180,64,64,77,94,40,22,35,0,0,0,0
2020,Lawrence,213,32,32,30,13,10,11,13,3,7,6,0,0,0,0
2020,Lee,458,101,95,64,19,20,21,11,4,11,4,0,0,0,0
2020,Livingston,509,111,90,54,29,22,26,23,17,11,5,0,0,0,0
2020,Logan,415,71,73,47,18,13,21,33,8,7,12,0,0,0,0
2020,McDonough,370,88,67,31,16,20,16,12,8,5,12,0,0,0,0
2020,McHenry,2576,540,569,234,152,106,100,91,69,49,38,0,0,0,0
2020,McLean,1429,337,260,110,78,54,81,125,33,21,21,0,0,0,0
2020,Macon,1449,299,273,142,74,51,67,54,24,22,48,0,0,0,0
2020,Macoupin,663,139,108,64,35,36,26,30,19,16,9,0,0,0,0
2020,Madison,3387,723,592,294,229,232,173,133,79,67,67,0,0,0,0
2020,Marion,651,130,116,50,27,36,59,30,18,17,11,0,0,0,0
2020,Marshall,172,46,32,8,16,9,5,8,3,0,3,0,0,0,0
2020,Mason,235,44,54,33,10,8,9,10,6,4,5,0,0,0,0
2020,Massac,240,41,37,21,6,13,30,19,6,8,2,0,0,0,0
2020,Mercer,221,34,42,16,6,11,17,10,11,3,5,0,0,0,0
2020,Monroe,372,76,76,45,15,13,15,10,9,8,5,0,0,0,0
2020,Montgomery,423,82,72,29,21,29,22,19,9,10,11,0,0,0,0
2020,Morgan,485,112,90,54,21,16,20,20,7,6,16,0,0,0,0
2020,Moultrie,216,41,42,20,13,7,9,5,10,3,4,0,0,0,0
2020,Ogle,613,122,137,52,23,29,42,29,20,15,6,0,0,0,0
2020,Peoria,2109,419,422,145,144,96,103,86,51,42,36,0,0,0,0
2020,Perry,266,53,41,29,12,8,14,15,9,10,5,0,0,0,0
2020,Piatt,189,50,40,9,6,5,7,5,4,1,1,0,0,0,0
